Spanish,English
lunes, Monday
martes, Tuesday
miércoles, Wednesday
jueves, Thursday
viernes, Friday
sábado, Saturday
domingo, Sunday
enero, January
febrero, February
marzo, March
mayo, May
junio, June
julio, July
agosto, August
septiembre, September
octubre, October
noviembre, November
diciembre, December
la primavera, spring
el verano, summer
el otoño, autumn
el invierno, winter
